"symbol","model","eval_set","rmse","rsq","last_refreshed"
"1INCH","lm","holdout",1.11948166051114,0.00749641119456394,"2023-02-09 02:44:59"
"1INCH","lm","test",0.441229687478911,0.780775816785126,"2023-02-09 02:44:59"
"1INCH","nnet","holdout",1.16943024662359,0.008887068309758,"2023-02-09 02:44:59"
"1INCH","nnet","test",1.07442022274032,0.167088310788235,"2023-02-09 02:44:59"
"1INCH","pcr","holdout",0.753106310395339,0.0363388695647004,"2023-02-09 02:44:59"
"1INCH","pcr","test",0.763989101893776,0.310829488551441,"2023-02-09 02:44:59"
"1INCH","rf","holdout",0.733779259893985,0.00707034946390347,"2023-02-09 02:44:59"
"1INCH","rf","test",1.17020683511708,0.02921317417079,"2023-02-09 02:44:59"
"1INCH","xgb","holdout",1.42925854832591,0.0611215369941365,"2023-02-09 02:44:59"
"1INCH","xgb","test",1.10037529080716,0.025172739155718,"2023-02-09 02:44:59"
"ADA","lm","holdout",0.623160258578796,0.0570333569421523,"2023-02-09 02:44:59"
"ADA","lm","test",0.696471232439511,0.756957339728372,"2023-02-09 02:44:59"
"ADA","nnet","holdout",0.700905839165174,0.0151111540857704,"2023-02-09 02:44:59"
"ADA","nnet","test",1.33490593785566,0.155314636496803,"2023-02-09 02:44:59"
"ADA","pcr","holdout",0.617119862502406,0.0876540554659318,"2023-02-09 02:44:59"
"ADA","pcr","test",0.89113039910345,0.364328745290164,"2023-02-09 02:44:59"
"ADA","rf","holdout",1.18620640075838,0.00000789226602226674,"2023-02-09 02:44:59"
"ADA","rf","test",1.18280534038839,0.138095230943461,"2023-02-09 02:44:59"
"ADA","xgb","holdout",1.15349837400335,0.00382997845346337,"2023-02-09 02:44:59"
"ADA","xgb","test",1.20488549636979,0.100668022330559,"2023-02-09 02:44:59"
"ALCX","lm","holdout",1.95747056359555,0.0759548624088353,"2023-02-09 02:44:59"
"ALCX","lm","test",0.674264592226256,0.613937772193193,"2023-02-09 02:44:59"
"ALCX","nnet","holdout",2.9313566637321,0.395648077400502,"2023-02-09 02:44:59"
"ALCX","nnet","test",2.69895431426572,0.206179875836852,"2023-02-09 02:44:59"
"ALCX","pcr","holdout",1.4220849435732,0.426978479288105,"2023-02-09 02:44:59"
"ALCX","pcr","test",0.621416969026402,0.398360097146362,"2023-02-09 02:44:59"
"ALCX","rf","holdout",1.56565243229481,0.173877582878104,"2023-02-09 02:44:59"
"ALCX","rf","test",1.00469604564271,0.0655113361460194,"2023-02-09 02:44:59"
"ALCX","xgb","holdout",1.98837536141375,0.0110134561080513,"2023-02-09 02:44:59"
"ALCX","xgb","test",1.25324709984463,0.069384177829263,"2023-02-09 02:44:59"
"ALICE","lm","holdout",1.41009817096974,0.669332204271887,"2023-02-09 02:44:59"
