"active","firstLevel","lastLevel","updates","address","hdao_value","percent_of_supply","date","timestamp"
TRUE,2200434,2920037,245,"tz1ZKAeBPY629Kbneiq9jV1tBasVmwLwttFp",25268.886932,3.88095849635488,2022-11-27,"2022-11-27 12:00:08"
TRUE,1392280,2815647,593,"tz1Y1j7FK1X9Rrv2VdPz5bXoU7SszF8W1RnK",20719.528279,3.18223867680609,2022-11-27,"2022-11-27 12:00:08"
TRUE,1505650,1548517,22,"tz1c9EbVJP8Z7jW7XZTpn8jeu2sswKnGJT33",18366.152189,2.82079201094454,2022-11-27,"2022-11-27 12:00:08"
TRUE,1703985,1882823,33,"tz1RerLHMTsHNjxQQnvSqn2hnZ5jXinnEeto",17469.913671,2.68314192368296,2022-11-27,"2022-11-27 12:00:08"
TRUE,1437543,2595364,8,"tz1WVMmKYeDChF5nssUd5x3Mhc6kzqTeJ5C9",15419.232875,2.3681851517458,2022-11-27,"2022-11-27 12:00:08"
TRUE,1485259,2903263,90,"tz1czgvqmECmPbvLPA5jJi93Jwg8tma8Zhvv",14000,2.15021022078189,2022-11-27,"2022-11-27 12:00:08"
TRUE,1876727,1882884,2,"tz1humfkwpfB3QRqR67XFFXFNDb7e6Ac5kHY",13602,2.08908281593395,2022-11-27,"2022-11-27 12:00:08"
TRUE,1862958,1862958,1,"tz1a6pAJA2LG7LXcraA3aNctxyz3XmjV7tCh",12259,1.88281622118323,2022-11-27,"2022-11-27 12:00:08"
TRUE,1411129,2677618,51,"tz1UqdGzifSXwetssUkGYNEZ545sZRUy8Hyc",11062.641842,1.69907182553699,2022-11-27,"2022-11-27 12:00:08"
TRUE,1443017,2920169,64174,"KT1QxLqukyfohPV5kPkw97Rs6cw1DDDvYgbB",10901.443151,1.67431389175378,2022-11-27,"2022-11-27 12:00:08"
TRUE,2187033,2892351,14,"tz1W62oFfKNsdHdQqEkf8QgqHVHkYBNYNx2c",10205.829448,1.56747705647474,2022-11-27,"2022-11-27 12:00:08"
TRUE,1494037,1580238,15,"tz1e9Eca8QDPReWWXRfP1qqoCo7Gd9xh3Q2R",9702.14881,1.49011853820063,2022-11-27,"2022-11-27 12:00:08"
TRUE,1376517,1672553,1821,"tz1gqaKjfQBhUMCE6LhbkpuittRiWv5Z6w38",9254.007302,1.42129007742505,2022-11-27,"2022-11-27 12:00:08"
TRUE,1586838,2908984,158,"tz1TsXDszgoTJAgXynemmJG7bLGucU9XDDd3",9000,1.38227799907407,2022-11-27,"2022-11-27 12:00:08"
